"mz","rt","TRb_DMSO_1.mzXML","TRb_DMSO_2.mzXML","TRb_DMSO_3.mzXML","TRb_Dust_1.mzXML","TRb_Dust_2.mzXML","TRb_Dust_3.mzXML","TRb_Sludge_1.mzXML","TRb_Sludge_2.mzXML","TRb_Sludge_3.mzXML","WT_DMSO_1.mzXML","WT_DMSO_2.mzXML","WT_DMSO_3.mzXML","WT_Dust_1.mzXML","WT_Dust_2.mzXML","WT_Dust_3.mzXML","WT_Sludge_1.mzXML","WT_Sludge_2.mzXML","WT_Sludge_3.mzXML","SampleID","ID","TRb Sludge fc1","TRb Sludge pvalue1","TRb Sludge fc2","TRb Sludge pvalue2","avg","change"
276.172505696615,5.3236,100,81466.65625,45946.93359375,137418.3125,126424.5234375,63692.73828125,265131,189695.21875,326731.53125,83772.3828125,100,100,100,100,100,100,100,49924.6015625,9,2358,15.5922985048665,0.0145879845261274,6.12921141156554,0.0148603241804598,260519.25,"up"
277.21772257487,5.45005,250487.90625,224067.625,130308.609375,2790486.75,1879600.625,1738417.5,7049748,5586751.5,11062005,699877.4375,461482.65625,508070.875,508361.125,398543.5,1032949.5625,451925.15625,334854.90625,269991.78125,9,2403,22.4253746351765,0.0438180039679662,39.1798800892917,0.0422923992082435,7899501.5,"up"
278.221099853516,5.45005,74428.203125,45269.8671875,22244.0390625,616020.125,364127.3125,279576.375,1365235.75,1105397.375,2095734,43383.39453125,100,100,39621.36328125,100,213170.203125,100,100,44358.9921875,9,2422,102.479138347321,0.0362881048128991,32.1706303020763,0.037805201209936,1522122.375,"up"
279.224548339844,5.45005,25595.185546875,100,100,58962.19921875,52935.4921875,25608.919921875,101310.734375,151882.796875,202373.03125,100,100,100,54689.203125,100,100,100,100,100,9,2468,1518.55520833333,0.035027685765894,17.660914346677,0.0309132176236501,151855.520833333,"up"
279.233378092448,5.71745,583066.875,525302.5625,616227.5,1458010.625,1093274.375,790144.25,9446570,8614658,15296325,2899359.5,2587697.25,2632460.25,2261499,2142879,1863029.125,1621048.125,1510240.875,1487349.25,9,2471,7.22237837094083,0.0448915408757249,19.342231378629,0.037510252588026,11119184.3333333,"up"
281.025695800781,0.455788333333333,1503798.5,1368885.875,610841.4375,3973728.25,4197651.5,1665136.875,13048451,16368807,21303700,310226.90625,168868.296875,162154.515625,218894.546875,134084.296875,201524.078125,211659.140625,210984.46875,364719.59375,9,2523,64.4187559168264,0.0200963309609463,14.5602360166235,0.0212362676131887,16906986,"up"
282.029164632161,0.455788333333333,164953.4375,144108.125,73601.5546875,404726,363585.78125,155539.046875,1224932.875,1513541,2024844.625,33664.453125,17803.40625,16752.39453125,22526.126953125,13369.5869140625,100,31698.455078125,21387.94140625,44151.38671875,9,2564,48.9862926024307,0.0218003351965628,12.4478118900235,0.0234107734855553,1587772.83333333,"up"
283.02143351237,0.455788333333333,70732.5234375,73422.8203125,21710.1328125,196744.640625,200759.359375,81652.828125,560331.4375,723331.3125,1013905.25,14548.21875,11596.0546875,10829.0942382812,18956.45703125,8948.6640625,13305.4736328125,16593.98046875,13037.119140625,23458.1484375,9,2596,43.2774636018835,0.0299709501002182,13.8519964950889,0.0314157711245236,765856,"up"
283.030069986979,0.455788333333333,56557.48046875,47659.29296875,49558.24609375,101283.9765625,92855.578125,55872.828125,200729.0625,283904.03125,330632.15625,42841.0234375,25610.69921875,33922.53125,37300.3359375,23638.099609375,150065.125,41149.3359375,36580.30859375,50779.5546875,9,2597,6.34402248987829,0.0252782097298369,5.30167547684377,0.0279046467846262,271755.083333333,"up"
283.068247477214,4.98931666666667,100,100,100,33623.31640625,30077.23828125,100,110498.1875,102121.390625,80712.8671875,100,100,100,100,100,100,100,100,100,7,2605,977.774817708333,0.0081426917237607,977.774817708333,0.0081426917237607,97777.4817708333,"up"
